took 0.287311 seconds, 17.125060 ns per cacheline, pageSize= 4096 , cacheLine=64, pages=262144 tlb misses=262805
took 0.405383 seconds, 24.162702 ns per cacheline, pageSize= 8192 , cacheLine=64, pages=131072 tlb misses=262608
took 0.416263 seconds, 24.811200 ns per cacheline, pageSize= 12288 , cacheLine=64, pages=87381 tlb misses=262521
took 0.414772 seconds, 24.722340 ns per cacheline, pageSize= 16384 , cacheLine=64, pages=65536 tlb misses=262522
took 0.423864 seconds, 25.264256 ns per cacheline, pageSize= 20480 , cacheLine=64, pages=52428 tlb misses=262501
took 0.423537 seconds, 25.244773 ns per cacheline, pageSize= 24576 , cacheLine=64, pages=43690 tlb misses=262495
took 0.418909 seconds, 24.968926 ns per cacheline, pageSize= 28672 , cacheLine=64, pages=37449 tlb misses=262485
took 0.421814 seconds, 25.142072 ns per cacheline, pageSize= 32768 , cacheLine=64, pages=32768 tlb misses=262487
took 0.420315 seconds, 25.052728 ns per cacheline, pageSize= 36864 , cacheLine=64, pages=29127 tlb misses=262484
took 0.429439 seconds, 25.596563 ns per cacheline, pageSize= 40960 , cacheLine=64, pages=26214 tlb misses=262483
took 0.424078 seconds, 25.277018 ns per cacheline, pageSize= 45056 , cacheLine=64, pages=23831 tlb misses=262466
took 0.429427 seconds, 25.595853 ns per cacheline, pageSize= 49152 , cacheLine=64, pages=21845 tlb misses=262480
took 0.429493 seconds, 25.599775 ns per cacheline, pageSize= 53248 , cacheLine=64, pages=20164 tlb misses=262469
took 0.423872 seconds, 25.264740 ns per cacheline, pageSize= 57344 , cacheLine=64, pages=18724 tlb misses=262465
took 0.424643 seconds, 25.310683 ns per cacheline, pageSize= 61440 , cacheLine=64, pages=17476 tlb misses=262474
took 0.432407 seconds, 25.773460 ns per cacheline, pageSize= 65536 , cacheLine=64, pages=16384 tlb misses=262489
took 0.431719 seconds, 25.732461 ns per cacheline, pageSize= 69632 , cacheLine=64, pages=15420 tlb misses=262468
took 0.432086 seconds, 25.754332 ns per cacheline, pageSize= 73728 , cacheLine=64, pages=14563 tlb misses=262459
took 0.427094 seconds, 25.456785 ns per cacheline, pageSize= 77824 , cacheLine=64, pages=13797 tlb misses=262477
took 0.427942 seconds, 25.507333 ns per cacheline, pageSize= 81920 , cacheLine=64, pages=13107 tlb misses=262445
took 0.432483 seconds, 25.777993 ns per cacheline, pageSize= 86016 , cacheLine=64, pages=12483 tlb misses=262462
took 0.433520 seconds, 25.839810 ns per cacheline, pageSize= 90112 , cacheLine=64, pages=11915 tlb misses=262451
took 0.429948 seconds, 25.626903 ns per cacheline, pageSize= 94208 , cacheLine=64, pages=11397 tlb misses=262439
took 0.428196 seconds, 25.522468 ns per cacheline, pageSize= 98304 , cacheLine=64, pages=10922 tlb misses=262430
took 0.431541 seconds, 25.721846 ns per cacheline, pageSize= 102400 , cacheLine=64, pages=10485 tlb misses=262418
took 0.427941 seconds, 25.507276 ns per cacheline, pageSize= 106496 , cacheLine=64, pages=10082 tlb misses=262436
took 0.427608 seconds, 25.487424 ns per cacheline, pageSize= 110592 , cacheLine=64, pages=9709 tlb misses=262416
took 0.432096 seconds, 25.754929 ns per cacheline, pageSize= 114688 , cacheLine=64, pages=9362 tlb misses=262429
took 0.432238 seconds, 25.763384 ns per cacheline, pageSize= 118784 , cacheLine=64, pages=9039 tlb misses=262420
took 0.435955 seconds, 25.984946 ns per cacheline, pageSize= 122880 , cacheLine=64, pages=8738 tlb misses=262415
took 0.434746 seconds, 25.912883 ns per cacheline, pageSize= 126976 , cacheLine=64, pages=8456 tlb misses=262424
took 0.432187 seconds, 25.760343 ns per cacheline, pageSize= 131072 , cacheLine=64, pages=8192 tlb misses=262437
took 0.441952 seconds, 26.342391 ns per cacheline, pageSize= 135168 , cacheLine=64, pages=7943 tlb misses=262388
took 0.442220 seconds, 26.358364 ns per cacheline, pageSize= 139264 , cacheLine=64, pages=7710 tlb misses=262395
