took 0.272757 seconds, 16.257587 ns per cacheline, pageSize= 4096 , cacheLine=64, pages=262144 tlb misses=262786
took 0.411536 seconds, 24.529456 ns per cacheline, pageSize= 8192 , cacheLine=64, pages=131072 tlb misses=262431
took 0.424635 seconds, 25.310229 ns per cacheline, pageSize= 12288 , cacheLine=64, pages=87381 tlb misses=262393
took 0.491303 seconds, 29.283939 ns per cacheline, pageSize= 16384 , cacheLine=64, pages=65536 tlb misses=262346
took 0.583028 seconds, 34.751167 ns per cacheline, pageSize= 20480 , cacheLine=64, pages=52428 tlb misses=262320
took 1.057007 seconds, 63.002531 ns per cacheline, pageSize= 24576 , cacheLine=64, pages=43690 tlb misses=262296
took 1.200601 seconds, 71.561402 ns per cacheline, pageSize= 28672 , cacheLine=64, pages=37449 tlb misses=262299
took 1.240485 seconds, 73.938665 ns per cacheline, pageSize= 32768 , cacheLine=64, pages=32768 tlb misses=262265
took 1.309037 seconds, 78.024684 ns per cacheline, pageSize= 36864 , cacheLine=64, pages=29127 tlb misses=262304
took 1.327619 seconds, 79.132249 ns per cacheline, pageSize= 40960 , cacheLine=64, pages=26214 tlb misses=262320
took 1.293899 seconds, 77.122394 ns per cacheline, pageSize= 45056 , cacheLine=64, pages=23831 tlb misses=262279
took 1.327530 seconds, 79.126963 ns per cacheline, pageSize= 49152 , cacheLine=64, pages=21845 tlb misses=262278
took 1.280532 seconds, 76.325648 ns per cacheline, pageSize= 53248 , cacheLine=64, pages=20164 tlb misses=262256
took 1.268249 seconds, 75.593533 ns per cacheline, pageSize= 57344 , cacheLine=64, pages=18724 tlb misses=262247
took 1.239629 seconds, 73.887648 ns per cacheline, pageSize= 61440 , cacheLine=64, pages=17476 tlb misses=262261
took 1.250702 seconds, 74.547657 ns per cacheline, pageSize= 65536 , cacheLine=64, pages=16384 tlb misses=262233
took 1.247530 seconds, 74.358582 ns per cacheline, pageSize= 69632 , cacheLine=64, pages=15420 tlb misses=262270
took 1.225204 seconds, 73.027849 ns per cacheline, pageSize= 73728 , cacheLine=64, pages=14563 tlb misses=262294
took 1.212736 seconds, 72.284692 ns per cacheline, pageSize= 77824 , cacheLine=64, pages=13797 tlb misses=262258
