took 0.314990 seconds, 18.774870 ns per cacheline, pageSize= 4096 , cacheLine=64, pages=262144 tlb misses=519491
took 0.471965 seconds, 28.131311 ns per cacheline, pageSize= 8192 , cacheLine=64, pages=131072 tlb misses=419375
took 0.465842 seconds, 27.766333 ns per cacheline, pageSize= 12288 , cacheLine=64, pages=87381 tlb misses=364693
took 0.515809 seconds, 30.744616 ns per cacheline, pageSize= 16384 , cacheLine=64, pages=65536 tlb misses=334042
took 0.607805 seconds, 36.228002 ns per cacheline, pageSize= 20480 , cacheLine=64, pages=52428 tlb misses=307745
took 1.042266 seconds, 62.123902 ns per cacheline, pageSize= 24576 , cacheLine=64, pages=43690 tlb misses=286198
took 1.182192 seconds, 70.464139 ns per cacheline, pageSize= 28672 , cacheLine=64, pages=37449 tlb misses=269462
took 1.227445 seconds, 73.161416 ns per cacheline, pageSize= 32768 , cacheLine=64, pages=32768 tlb misses=265322
took 1.252556 seconds, 74.658161 ns per cacheline, pageSize= 36864 , cacheLine=64, pages=29127 tlb misses=263770
took 1.257458 seconds, 74.950336 ns per cacheline, pageSize= 40960 , cacheLine=64, pages=26214 tlb misses=263105
took 1.292487 seconds, 77.038223 ns per cacheline, pageSize= 45056 , cacheLine=64, pages=23831 tlb misses=262781
took 1.278021 seconds, 76.175994 ns per cacheline, pageSize= 49152 , cacheLine=64, pages=21845 tlb misses=262582
took 1.270979 seconds, 75.756262 ns per cacheline, pageSize= 53248 , cacheLine=64, pages=20164 tlb misses=262531
took 1.255780 seconds, 74.850320 ns per cacheline, pageSize= 57344 , cacheLine=64, pages=18724 tlb misses=262445
took 1.242418 seconds, 74.053872 ns per cacheline, pageSize= 61440 , cacheLine=64, pages=17476 tlb misses=262429
took 1.221154 seconds, 72.786449 ns per cacheline, pageSize= 65536 , cacheLine=64, pages=16384 tlb misses=262356
took 1.214639 seconds, 72.398137 ns per cacheline, pageSize= 69632 , cacheLine=64, pages=15420 tlb misses=262292
took 1.210583 seconds, 72.156368 ns per cacheline, pageSize= 73728 , cacheLine=64, pages=14563 tlb misses=262351
took 1.190461 seconds, 70.957000 ns per cacheline, pageSize= 77824 , cacheLine=64, pages=13797 tlb misses=262286
took 1.187754 seconds, 70.795664 ns per cacheline, pageSize= 81920 , cacheLine=64, pages=13107 tlb misses=262250
took 1.169305 seconds, 69.696014 ns per cacheline, pageSize= 86016 , cacheLine=64, pages=12483 tlb misses=262256
took 1.143076 seconds, 68.132636 ns per cacheline, pageSize= 90112 , cacheLine=64, pages=11915 tlb misses=262258
took 1.151570 seconds, 68.638911 ns per cacheline, pageSize= 94208 , cacheLine=64, pages=11397 tlb misses=262248
took 1.126087 seconds, 67.120013 ns per cacheline, pageSize= 98304 , cacheLine=64, pages=10922 tlb misses=262223
